Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
TOTAL;FURGONETAS;Gas Licuado de Petroleo;2017;275
TOTAL;FURGONETAS;Gas Licuado de Petroleo;2018;757
TOTAL;FURGONETAS;Gas Licuado de Petroleo;2019;2485
TOTAL;FURGONETAS;Gas Licuado de Petroleo;2020;782
TOTAL;FURGONETAS;Gas Natural Comprimido;TOTAL;2247
TOTAL;FURGONETAS;Gas Natural Comprimido;2014;19
TOTAL;FURGONETAS;Gas Natural Comprimido;2015;33
TOTAL;FURGONETAS;Gas Natural Comprimido;2016;58
TOTAL;FURGONETAS;Gas Natural Comprimido;2017;118
TOTAL;FURGONETAS;Gas Natural Comprimido;2018;327
TOTAL;FURGONETAS;Gas Natural Comprimido;2019;987
TOTAL;FURGONETAS;Gas Natural Comprimido;2020;705
TOTAL;FURGONETAS;Gas Natural Licuado;TOTAL;1
TOTAL;FURGONETAS;Gas Natural Licuado;2018;1
TOTAL;FURGONETAS;Gasolina;TOTAL;10538
TOTAL;FURGONETAS;Gasolina;2014;206
TOTAL;FURGONETAS;Gasolina;2015;279
TOTAL;FURGONETAS;Gasolina;2016;495
TOTAL;FURGONETAS;Gasolina;2017;692
TOTAL;FURGONETAS;Gasolina;2018;2081
TOTAL;FURGONETAS;Gasolina;2019;3268
TOTAL;FURGONETAS;Gasolina;2020;3517
TOTAL;FURGONETAS;Otros;TOTAL;5
TOTAL;FURGONETAS;Otros;2017;1
TOTAL;FURGONETAS;Otros;2019;3
TOTAL;FURGONETAS;Otros;2020;1
TOTAL;FURGONETAS;Sin especificar;TOTAL;3
TOTAL;FURGONETAS;Sin especificar;2019;1
TOTAL;FURGONETAS;Sin especificar;2020;2
TOTAL;MOTOCICLETAS;TOTAL;TOTAL;125352
TOTAL;MOTOCICLETAS;Diesel;TOTAL;425
TOTAL;MOTOCICLETAS;Diesel;2014;50
TOTAL;MOTOCICLETAS;Diesel;2015;74
TOTAL;MOTOCICLETAS;Diesel;2016;64
TOTAL;MOTOCICLETAS;Diesel;2017;78
TOTAL;MOTOCICLETAS;Diesel;2018;47
TOTAL;MOTOCICLETAS;Diesel;2019;60
TOTAL;MOTOCICLETAS;Diesel;2020;52
TOTAL;MOTOCICLETAS;Eléctrico;TOTAL;8573
TOTAL;MOTOCICLETAS;Eléctrico;2014;96
TOTAL;MOTOCICLETAS;Eléctrico;2015;138
TOTAL;MOTOCICLETAS;Eléctrico;2016;215
TOTAL;MOTOCICLETAS;Eléctrico;2017;233
TOTAL;MOTOCICLETAS;Eléctrico;2018;955
TOTAL;MOTOCICLETAS;Eléctrico;2019;3824
TOTAL;MOTOCICLETAS;Eléctrico;2020;3112
TOTAL;MOTOCICLETAS;Gas Licuado de Petroleo;TOTAL;10
TOTAL;MOTOCICLETAS;Gas Licuado de Petroleo;2015;1
TOTAL;MOTOCICLETAS;Gas Licuado de Petroleo;2016;3
TOTAL;MOTOCICLETAS;Gas Licuado de Petroleo;2017;3
TOTAL;MOTOCICLETAS;Gas Licuado de Petroleo;2018;2
TOTAL;MOTOCICLETAS;Gas Licuado de Petroleo;2020;1
TOTAL;MOTOCICLETAS;Gas Natural Comprimido;TOTAL;3
TOTAL;MOTOCICLETAS;Gas Natural Comprimido;2019;2
TOTAL;MOTOCICLETAS;Gas Natural Comprimido;2020;1
TOTAL;MOTOCICLETAS;Gas Natural Licuado;TOTAL;1
TOTAL;MOTOCICLETAS;Gas Natural Licuado;2017;1
TOTAL;MOTOCICLETAS;Gasolina;TOTAL;116328
TOTAL;MOTOCICLETAS;Gasolina;2014;11942
TOTAL;MOTOCICLETAS;Gasolina;2015;14441
TOTAL;MOTOCICLETAS;Gasolina;2016;17529
TOTAL;MOTOCICLETAS;Gasolina;2017;15340
TOTAL;MOTOCICLETAS;Gasolina;2018;18175
TOTAL;MOTOCICLETAS;Gasolina;2019;20747
TOTAL;MOTOCICLETAS;Gasolina;2020;18154
TOTAL;MOTOCICLETAS;Sin especificar;TOTAL;12
TOTAL;MOTOCICLETAS;Sin especificar;2015;1
TOTAL;MOTOCICLETAS;Sin especificar;2016;2
TOTAL;MOTOCICLETAS;Sin especificar;2017;2
TOTAL;MOTOCICLETAS;Sin especificar;2018;5
TOTAL;MOTOCICLETAS;Sin especificar;2019;2
TOTAL;OTROS VEHÍCULOS;TOTAL;TOTAL;9093
TOTAL;OTROS VEHÍCULOS;Diesel;TOTAL;7666
TOTAL;OTROS VEHÍCULOS;Diesel;2014;422
TOTAL;OTROS VEHÍCULOS;Diesel;2015;678
TOTAL;OTROS VEHÍCULOS;Diesel;2016;781
TOTAL;OTROS VEHÍCULOS;Diesel;2017;1130
TOTAL;OTROS VEHÍCULOS;Diesel;2018;1448
TOTAL;OTROS VEHÍCULOS;Diesel;2019;1724
TOTAL;OTROS VEHÍCULOS;Diesel;2020;1483
TOTAL;OTROS VEHÍCULOS;Eléctrico;TOTAL;774
TOTAL;OTROS VEHÍCULOS;Eléctrico;2014;46
TOTAL;OTROS VEHÍCULOS;Eléctrico;2015;62
TOTAL;OTROS VEHÍCULOS;Eléctrico;2016;88
TOTAL;OTROS VEHÍCULOS;Eléctrico;2017;116
TOTAL;OTROS VEHÍCULOS;Eléctrico;2018;142
TOTAL;OTROS VEHÍCULOS;Eléctrico;2019;188
TOTAL;OTROS VEHÍCULOS;Eléctrico;2020;132
TOTAL;OTROS VEHÍCULOS;Gas Licuado de Petroleo;TOTAL;50
TOTAL;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2014;6
TOTAL;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2015;4
TOTAL;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2016;7
TOTAL;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2017;6
TOTAL;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2018;9
TOTAL;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2019;10
