CODIGO;NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD
5011381;Tunel C. JOAQUIN COSTA;Rodriguez Marin-Plaza de la Republica Argentina;Plaza de la Republica Argentina;07/06/2019;14/06/2019;40,4436;-3,68403
5011382;Tunel C. JOAQUIN COSTA;Rodriguez Marin-Plaza de la Republica Argentina;Velazquez;07/06/2019;14/06/2019;40,4439;-3,68395
5011383;Lateral C. JOAQUIN COSTA;Rodriguez Marin-Plaza de la Republica Argentina;Plaza de la Republica Argentina;07/06/2019;14/06/2019;40,4439;-3,68395
5011384;Lateral C. JOAQUIN COSTA;Rodriguez Marin-Plaza de la Republica Argentina;Velazquez;07/06/2019;14/06/2019;40,4436;-3,68403
5011413;Lateral C. MARIA DE MOLINA;Lopez de Hoyos-Lagasca;Lagasca;11/06/2019;18/06/2019;40,43781;-3,68468
5011416;Tunel Carr Dcho C. MARIA DE MOLINA;Paseo de la Castellana-Maria de Molina;Maria de Molina;12/06/2019;19/06/2019;40,43791;-3,68637
5011421;Lateral C. MARIA DE MOLINA;Plaza del Doctor Maranon-Salas;Plaza del Doctor Maranon;12/06/2019;19/06/2019;40,43809;-3,68931
5011516; C. PRINCIPE DE VERGARA;Aragon-Cataluna (Pz.);Cataluna (Pz.);12/06/2019;19/06/2019;40,44827;-3,67812
5011517; C. PRINCIPE DE VERGARA;Aragon-Cataluna (Pz.);Aragon;12/06/2019;19/06/2019;40,44831;-3,67814
5011569; C. SERRANO;Juan de la Cierva-Pablo Aranda;Pablo Aranda;02/04/2019;09/04/2019;40,44242;-3,68598
5011570; C. SERRANO;Oquendo-Pedro de Valdivia;Pedro de Valdivia;21/06/2019;28/06/2019;40,44063;-3,6861
5011572; C. SERRANO;Plaza Republica Argentina-Jorge Manrique;Jorge Manrique;21/06/2019;28/06/2019;40,44355;-3,68583
5011586; C. VELAZQUEZ;Carlos Maria Castro (Pz.)-Oquendo;Oquendo;25/03/2019;01/04/2019;40,43969;-3,68285
5011591; C. VELAZQUEZ;Maria de Molina-Plaza Carlos Maria Castro;Plaza Carlos Maria Castro;28/06/2019;05/07/2019;40,4384;-3,68343
5011592; C. VELAZQUEZ;Oquendo-Pablo Aranda;Pablo Aranda;25/03/2019;01/04/2019;40,44096;-3,68296
5011594; C. VELAZQUEZ;Rodriguez Marin-Avenida del Doctor Arce;Avenida del Doctor Arce;25/03/2019;01/04/2019;40,44506;-3,68239
5020249; C. CARTAGENA;Luis Cabrera-Lopez de Hoyos;Luis Cabrera;28/01/2019;04/02/2019;40,44249;-3,67577
5020250; C. CARTAGENA;Luis Cabrera-Lopez de Hoyos;Lopez de Hoyos;28/01/2019;04/02/2019;40,44249;-3,67577
5020571; C. LOPEZ DE HOYOS;Eugenio Salazar-Marcenado;Eugenio Salazar;04/02/2019;11/02/2019;40,44498;-3,67282
