Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, MOTOCICLETAS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2003;14
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2004;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2005;9
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2006;7
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2007;59
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2008;10
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2009;60
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2010;26
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2011;6
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2012;7
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2013;30
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2014;5
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2015;18
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2016;149
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2017;269
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2018;54
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2019;157
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2020;96
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;TOTAL;55
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2014;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2015;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2016;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2017;5
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2018;15
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2019;11
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2020;15
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;TOTAL;105
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2000;6
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2001;8
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2002;7
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2003;4
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2004;8
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2005;11
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2006;8
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2007;11
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2008;4
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2009;9
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2010;4
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2011;2
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2012;4
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2014;1
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2015;1
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2016;8
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2017;5
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2018;2
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2019;1
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2020;1
TOTAL;CICLOMOTORES;TOTAL;TOTAL;80470
TOTAL;CICLOMOTORES;Diesel;TOTAL;2839
TOTAL;CICLOMOTORES;Diesel;2000;71
TOTAL;CICLOMOTORES;Diesel;2001;122
TOTAL;CICLOMOTORES;Diesel;2002;100
TOTAL;CICLOMOTORES;Diesel;2003;112
TOTAL;CICLOMOTORES;Diesel;2004;150
TOTAL;CICLOMOTORES;Diesel;2005;178
TOTAL;CICLOMOTORES;Diesel;2006;262
TOTAL;CICLOMOTORES;Diesel;2007;257
TOTAL;CICLOMOTORES;Diesel;2008;117
TOTAL;CICLOMOTORES;Diesel;2009;75
TOTAL;CICLOMOTORES;Diesel;2010;70
TOTAL;CICLOMOTORES;Diesel;2011;68
TOTAL;CICLOMOTORES;Diesel;2012;33
TOTAL;CICLOMOTORES;Diesel;2013;42
TOTAL;CICLOMOTORES;Diesel;2014;52
TOTAL;CICLOMOTORES;Diesel;2015;80
TOTAL;CICLOMOTORES;Diesel;2016;137
TOTAL;CICLOMOTORES;Diesel;2017;182
TOTAL;CICLOMOTORES;Diesel;2018;232
TOTAL;CICLOMOTORES;Diesel;2019;252
TOTAL;CICLOMOTORES;Diesel;2020;247
TOTAL;CICLOMOTORES;Eléctrico;TOTAL;2576
TOTAL;CICLOMOTORES;Eléctrico;2000;1
TOTAL;CICLOMOTORES;Eléctrico;2001;2
TOTAL;CICLOMOTORES;Eléctrico;2002;1
TOTAL;CICLOMOTORES;Eléctrico;2003;2
TOTAL;CICLOMOTORES;Eléctrico;2005;3
TOTAL;CICLOMOTORES;Eléctrico;2006;1
TOTAL;CICLOMOTORES;Eléctrico;2007;5
TOTAL;CICLOMOTORES;Eléctrico;2008;11
TOTAL;CICLOMOTORES;Eléctrico;2009;23
TOTAL;CICLOMOTORES;Eléctrico;2010;11
TOTAL;CICLOMOTORES;Eléctrico;2011;12
TOTAL;CICLOMOTORES;Eléctrico;2012;58
TOTAL;CICLOMOTORES;Eléctrico;2013;44
TOTAL;CICLOMOTORES;Eléctrico;2014;35
TOTAL;CICLOMOTORES;Eléctrico;2015;39
TOTAL;CICLOMOTORES;Eléctrico;2016;125
TOTAL;CICLOMOTORES;Eléctrico;2017;295
TOTAL;CICLOMOTORES;Eléctrico;2018;658
TOTAL;CICLOMOTORES;Eléctrico;2019;843
TOTAL;CICLOMOTORES;Eléctrico;2020;407
TOTAL;CICLOMOTORES;Gas Licuado de Petroleo;TOTAL;1
TOTAL;CICLOMOTORES;Gas Licuado de Petroleo;2000;1
TOTAL;CICLOMOTORES;Gasolina;TOTAL;75052
TOTAL;CICLOMOTORES;Gasolina;2000;17768
TOTAL;CICLOMOTORES;Gasolina;2001;10839
TOTAL;CICLOMOTORES;Gasolina;2002;6357
TOTAL;CICLOMOTORES;Gasolina;2003;4807
TOTAL;CICLOMOTORES;Gasolina;2004;4587
TOTAL;CICLOMOTORES;Gasolina;2005;4260
TOTAL;CICLOMOTORES;Gasolina;2006;4680
TOTAL;CICLOMOTORES;Gasolina;2007;4121
TOTAL;CICLOMOTORES;Gasolina;2008;3004
TOTAL;CICLOMOTORES;Gasolina;2009;1591
TOTAL;CICLOMOTORES;Gasolina;2010;1239
TOTAL;CICLOMOTORES;Gasolina;2011;949
TOTAL;CICLOMOTORES;Gasolina;2012;810
TOTAL;CICLOMOTORES;Gasolina;2013;653
TOTAL;CICLOMOTORES;Gasolina;2014;826
TOTAL;CICLOMOTORES;Gasolina;2015;1207
TOTAL;CICLOMOTORES;Gasolina;2016;1464
TOTAL;CICLOMOTORES;Gasolina;2017;1787
TOTAL;CICLOMOTORES;Gasolina;2018;1327
TOTAL;CICLOMOTORES;Gasolina;2019;1332
TOTAL;CICLOMOTORES;Gasolina;2020;1444
TOTAL;CICLOMOTORES;Sin especificar;TOTAL;2
TOTAL;CICLOMOTORES;Sin especificar;2020;2
TOTAL;FURGONETAS;TOTAL;TOTAL;293352
TOTAL;FURGONETAS;Diesel;TOTAL;264037
TOTAL;FURGONETAS;Diesel;2000;3227
TOTAL;FURGONETAS;Diesel;2001;4248
TOTAL;FURGONETAS;Diesel;2002;4416
TOTAL;FURGONETAS;Diesel;2003;5742
TOTAL;FURGONETAS;Diesel;2004;7053
TOTAL;FURGONETAS;Diesel;2005;9214
TOTAL;FURGONETAS;Diesel;2006;10269
TOTAL;FURGONETAS;Diesel;2007;11886
